"newdate" "Vendite_1" "Scontrini_1" "Vendite_2" "Scontrini_2" "Vendite_3" "Scontrini_3" "Vendite_4" "Scontrini_4" "Vendite_5" "Scontrini_5" "Vendite_6" "Scontrini_6" "Giorno" "day" "month" "year" "Scontrino_medio_1" "Scontrino_medio_2" "Scontrino_medio_3" "Scontrino_medio_4" "Scontrino_medio_5" "Scontrino_medio_6" "ZONA"
"458" "2021-04-02" 3716.71 365 6256.4 497 5879.47 480 2495.96 418 5409.52 462 4868.05 486 "venerdì" 2 4 2021 10.1827671232877 12.5883299798793 12.2488958333333 5.9711961722488 11.7089177489178 10.0165637860082 "Rossa"
"459" "2021-04-03" 3501.29 293 6899.83 493 5669.48 472 2199.21 389 4962.6 401 5319.64 487 "sabato" 3 4 2021 11.949795221843 13.9955983772819 12.0116101694915 5.65349614395887 12.3755610972569 10.9232854209446 "Rossa"
"460" "2021-04-04" NA NA NA NA NA NA NA NA NA NA NA NA "domenica" 4 4 2021 NA NA NA NA NA NA "Rossa"
"461" "2021-04-05" NA NA 8178.08 536 NA NA NA NA 4231.08 337 5039.72 449 "lunedì" 5 4 2021 NA 15.2576119402985 NA NA 12.5551335311573 11.2243207126949 "Rossa"
"462" "2021-04-06" 3125.2 304 5734.75 455 4852.42 445 2519.37 380 4327.75 370 4237.28 402 "martedì" 6 4 2021 10.2802631578947 12.6038461538462 10.9043146067416 6.62992105263158 11.6966216216216 10.5404975124378 "Rossa"
"463" "2021-04-07" 3239.88 300 5696.95 466 5273.4 456 1910.93 343 4305.1 417 5022.96 465 "mercoledì" 7 4 2021 10.7996 12.2252145922747 11.5644736842105 5.57122448979592 10.3239808153477 10.802064516129 "Rossa"
"464" "2021-04-08" 3779.84 351 5998.35 478 5146.67 487 2255.51 348 4898.7 435 4539.47 437 "giovedì" 8 4 2021 10.7687749287749 12.5488493723849 10.5681108829569 6.48135057471264 11.2613793103448 10.3878032036613 "Rossa"
"465" "2021-04-09" 4368.67 361 7806.44 589 7222.84 584 3320.59 425 6244.44 511 6360.96 545 "venerdì" 9 4 2021 12.1015789473684 13.2537181663837 12.3678767123288 7.81315294117647 12.2200391389432 11.6714862385321 "Rossa"
"466" "2021-04-10" 4772.16 391 8386.84 544 8529.51 597 3413.86 482 7045.61 513 6555.61 530 "sabato" 10 4 2021 12.2050127877238 15.4169852941176 14.2872864321608 7.08269709543568 13.7341325536062 12.3690754716981 "Rossa"
"467" "2021-04-11" 3413.91 289 6727.2 451 5278.47 409 2475.71 325 4883.18 413 4923.76 425 "domenica" 11 4 2021 11.8128373702422 14.9161862527716 12.9057946210269 7.61756923076923 11.8236803874092 11.5853176470588 "Rossa"
"468" "2021-04-12" 4164.54 416 6343.96 526 5287.84 500 3029.98 453 4227.3 397 5158.58 484 "lunedì" 12 4 2021 10.0109134615385 12.0607604562738 10.57568 6.68869757174393 10.6481108312343 10.6582231404959 "Arancione"
