Vendite	Scontrini	Vendite.1	Scontrini.1	Vendite.2	Scontrini.2	Vendite.3	Scontrini.3	Vendite.4	Scontrini.4	Vendite.5	Scontrini.5	Giorno	day	month	year	newdate
5350.82	678.0	8561.83	982.0			3276.31	767.0	5796.71	807.0				3	3	2017	2017-03-03
9892.02	1343.0	11226.14	1175.0			3774.53	769.0	7221.75	997.0				4	3	2017	2017-03-04
8351.62	907.0	9090.88	911.0			2491.94	515.0	6263.74	780.0				5	3	2017	2017-03-05
3314.20	460.0	5101.15	598.0			2797.00	771.0	4105.17	621.0				6	3	2017	2017-03-06
4039.78	541.0	5522.74	613.0			2656.03	701.0	3603.06	574.0				7	3	2017	2017-03-07
5953.39	778.0	7246.44	801.0			2934.38	697.0	5808.82	765.0				8	3	2017	2017-03-08
4000.17	532.0	5992.55	701.0			2683.78	677.0	4476.25	629.0				9	3	2017	2017-03-09
5135.61	629.0	8748.37	955.0			3235.61	744.0	6535.71	899.0				10	3	2017	2017-03-10
10361.62	1375.0	11751.23	1217.0			3684.47	821.0	8380.94	1056.0				11	3	2017	2017-03-11
6904.11	817.0	9169.53	864.0			2350.48	506.0	7334.42	894.0				12	3	2017	2017-03-12
3594.52	485.0	5766.91	685.0			2487.28	699.0	3847.89	572.0				13	3	2017	2017-03-13
3491.56	485.0	5558.19	653.0			2484.42	645.0	4176.74	620.0				14	3	2017	2017-03-14
3968.18	476.0	6389.97	704.0			2827.88	716.0	4471.04	629.0				15	3	2017	2017-03-15
4412.08	569.0	7377.14	809.0			2691.55	677.0	4537.77	669.0				16	3	2017	2017-03-16
6307.57	769.0	9481.20	1028.0			3265.55	767.0	6389.18	852.0				17	3	2017	2017-03-17
10641.38	1333.0	11774.89	1205.0			3987.55	779.0	7768.65	965.0				18	3	2017	2017-03-18
7983.54	810.0	11241.28	1007.0			2675.29	541.0	6456.38	760.0				19	3	2017	2017-03-19
3994.85	490.0	5943.43	662.0			2879.10	738.0	4016.23	608.0				20	3	2017	2017-03-20
4145.36	498.0	6091.05	712.0			2596.18	677.0	4501.69	630.0				21	3	2017	2017-03-21
4694.44	549.0	7167.36	770.0			2940.56	713.0	4688.98	653.0				22	3	2017	2017-03-22
4239.12	556.0	7249.78	781.0			2911.56	669.0	4630.94	657.0				23	3	2017	2017-03-23
5775.16	738.0	9441.81	1012.0			3112.24	743.0	6668.70	865.0				24	3	2017	2017-03-24
11318.59	1379.0	12370.23	1215.0			3383.28	744.0	8951.50	1070.0				25	3	2017	2017-03-25
8263.78	963.0	10601.24	995.0			2895.42	567.0	6909.74	810.0				26	3	2017	2017-03-26
3928.07	482.0	6208.32	710.0			2878.15	713.0	4482.12	633.0				27	3	2017	2017-03-27
3812.66	530.0	6298.90	741.0			2535.41	666.0	4404.92	637.0				28	3	2017	2017-03-28
4311.77	542.0	6599.37	740.0			2562.13	653.0	4827.40	686.0				29	3	2017	2017-03-29
4240.97	549.0	6841.85	760.0			2208.31	603.0	4744.11	706.0				30	3	2017	2017-03-30
5805.73	741.0	9391.53	1028.0			3016.94	695.0	6846.30	916.0				31	3	2017	2017-03-31
9430.83	1168.0	13029.88	1312.0			3628.62	848.0	8179.63	1014.0				1	4	2017	2017-04-01
8466.25	969.0	9638.78	942.0			2619.08	570.0	6727.32	821.0				2	4	2017	2017-04-02
3740.50	515.0	6104.27	684.0			2912.18	748.0	4108.16	657.0				3	4	2017	2017-04-03
4114.82	538.0	6306.11	677.0			2423.01	639.0	4157.14	634.0				4	4	2017	2017-04-04
4627.50	579.0	6810.79	755.0			2849.71	716.0	4614.30	694.0				5	4	2017	2017-04-05
4373.36	590.0	6530.40	760.0			2788.54	714.0	5044.62	735.0				6	4	2017	2017-04-06
5974.98	732.0	9087.53	1016.0			2891.95	683.0	5950.38	821.0				7	4	2017	2017-04-07
9581.38	1195.0	13022.51	1287.0			3411.91	800.0	8539.84	1072.0				8	4	2017	2017-04-08
