"Vendite_1","Scontrini_1","Vendite_2","Scontrini_2","Vendite_3","Scontrini_3","Vendite_4","Scontrini_4","Vendite_5","Scontrini_5","Vendite_6","Scontrini_6","Giorno","day","month","year","newdate","Scontrino_medio_1","Scontrino_medio_2","Scontrino_medio_3","Scontrino_medio_4","Scontrino_medio_5","Scontrino_medio_6","weekend","matches","Vacanze","INVERNO","PRIMAVERA","ESTATE","AUTUNNO","Eventi.televisivi","FENOMENI","temp_media","sole","precipitazioni","nebbia"
9581.38,1195,13022.51,1287,NA,NA,3411.91,800,8539.84,1072,NA,NA,"Saturday",8,4,2017,2017-04-08,8.017891213,10.11850039,NA,4.2648875,7.966268657,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
7339.36,836,9424.94,919,NA,NA,2504.62,466,6254.87,757,NA,NA,"Sunday",9,4,2017,2017-04-09,8.779138756,10.25564744,NA,5.37472103,8.262708058,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
3665.99,493,6522.81,718,NA,NA,2380.3,664,4032.92,633,NA,NA,"Monday",10,4,2017,2017-04-10,7.436085193,9.084693593,NA,3.584789157,6.371121643,NA,0,0,0,0,1,0,0,0,"",19,1,0,0
4556.86,599,5574.45,609,NA,NA,2483.23,645,4475.61,618,NA,NA,"Tuesday",11,4,2017,2017-04-11,7.607445743,9.153448276,NA,3.849968992,7.242087379,NA,0,1,0,0,1,0,0,0,"",19,1,0,0
7260.64,892,7791.88,875,NA,NA,3045.21,780,4894.14,679,NA,NA,"Wednesday",12,4,2017,2017-04-12,8.139730942,8.905005714,NA,3.904115385,7.207864507,NA,0,0,0,0,1,0,0,0,"",17,1,0,0
6205.05,747,8716.08,908,NA,NA,3127.15,706,5950.7,770,NA,NA,"Thursday",13,4,2017,2017-04-13,8.306626506,9.599207048,NA,4.429390935,7.728181818,NA,0,0,1,0,1,0,0,0,"",20,1,0,0
7302.64,878,8399.09,928,NA,NA,2660.78,666,6084.01,816,NA,NA,"Friday",14,4,2017,2017-04-14,8.317357631,9.050743534,NA,3.995165165,7.455894608,NA,0,0,1,0,1,0,0,0,"",17,1,0,0
10307.11,1322,10165.87,1069,NA,NA,3503.4,756,7084.22,917,NA,NA,"Saturday",15,4,2017,2017-04-15,7.796603631,9.509700655,NA,4.634126984,7.725430752,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
3270.03,395,5326.99,565,NA,NA,3335.996859,727.9916357,3003.85,345,NA,NA,"Sunday",16,4,2017,2017-04-16,8.278556962,9.428300885,NA,4.574905234,8.706811594,NA,1,0,1,0,1,0,0,0,"",NA,1,0,0
6814.09,768,8875.07,839,NA,NA,3335.996859,727.9916357,5386.79,717,NA,NA,"Monday",17,4,2017,2017-04-17,8.872513021,10.57815256,NA,4.574905234,7.512956764,NA,0,0,1,0,1,0,0,0,"",NA,1,0,0
5097.56,635,7331.78,758,NA,NA,3034.19,679,4337.66,624,NA,NA,"Tuesday",18,4,2017,2017-04-18,8.027653543,9.672532982,NA,4.468615611,6.951378205,NA,0,0,1,0,1,0,0,0,"precipitazioni",12,0,1,0
4466.01,540,6091.46,672,NA,NA,2882.53,699,4948.21,643,NA,NA,"Wednesday",19,4,2017,2017-04-19,8.270388889,9.064672619,NA,4.12379113,7.695505443,NA,0,1,0,0,1,0,0,0,"",11,1,0,0
4266.33,587,7303.23,740,NA,NA,2449.01,642,5133.27,734,NA,NA,"Thursday",20,4,2017,2017-04-20,7.26802385,9.86922973,NA,3.814657321,6.993555858,NA,0,0,0,0,1,0,0,0,"",12,1,0,0
5834.42,779,9668.11,1070,NA,NA,2902.88,708,7184.64,934,NA,NA,"Friday",21,4,2017,2017-04-21,7.489627728,9.035616822,NA,4.100112994,7.692334047,NA,0,0,0,0,1,0,0,0,"",12,1,0,0
10483.15,1305,11147.64,1174,NA,NA,3633.75,834,8327.5,1055,NA,NA,"Saturday",22,4,2017,2017-04-22,8.033065134,9.495434412,NA,4.357014388,7.893364929,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
8065.97,915,8963.62,907,NA,NA,2421.21,503,7036.14,834,NA,NA,"Sunday",23,4,2017,2017-04-23,8.81526776,9.882712238,NA,4.813538767,8.436618705,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
7459.45,902,8850.79,955,NA,NA,2875.07,669,5748.18,850,NA,NA,"Monday",24,4,2017,2017-04-24,8.269900222,9.267842932,NA,4.297563528,6.762564706,NA,0,1,0,0,1,0,0,0,"",16,1,0,0
8951.07,984,9036.22,897,NA,NA,2663.89,547,6378.61,765,NA,NA,"Tuesday",25,4,2017,2017-04-25,9.096615854,10.07382386,NA,4.87,8.338052288,NA,0,0,1,0,1,0,0,0,"",NA,1,0,0
4316.18,501,6019.58,677,NA,NA,2487.53,635,3716.44,537,NA,NA,"Wednesday",26,4,2017,2017-04-26,8.615129741,8.89155096,NA,3.917370079,6.920744879,NA,0,0,0,0,1,0,0,0,"precipitazioni",14,0,1,0
4125.82,538,6421.55,729,NA,NA,2464.73,635,4740.52,678,NA,NA,"Thursday",27,4,2017,2017-04-27,7.668810409,8.808710562,NA,3.881464567,6.991917404,NA,0,0,0,0,1,0,0,0,"precipitazioni",15,0,1,0
5736.81,759,9474.49,1056,NA,NA,2871.11,716,6468.9,910,NA,NA,"Friday",28,4,2017,2017-04-28,7.558379447,8.972054924,NA,4.009930168,7.108681319,NA,0,1,0,0,1,0,0,0,"precipitazioni",13,0,1,0
9972.66,1238,11242.9,1191,NA,NA,3483.07,783,8686.11,1102,NA,NA,"Saturday",29,4,2017,2017-04-29,8.05546042,9.439882452,NA,4.448365262,7.882132486,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
8205.66,1025,9225.54,946,NA,NA,2258.93,489,6306.43,826,NA,NA,"Sunday",30,4,2017,2017-04-30,8.005521951,9.752156448,NA,4.619488753,7.634903148,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
8015.64,984,9376.32,897,NA,NA,2183.71,522,6063.13,812,NA,NA,"Monday",1,5,2017,2017-05-01,8.14597561,10.45297659,NA,4.18335249,7.466908867,NA,0,0,1,0,1,0,0,0,"",NA,1,0,0
3693.82,475,5490.88,593,NA,NA,2524.99,654,3683.47,560,NA,NA,"Tuesday",2,5,2017,2017-05-02,7.776463158,9.259494098,NA,3.860840979,6.577625,NA,0,0,0,0,1,0,0,0,"",14,1,0,0
4518.33,573,5970.34,665,NA,NA,2726.02,653,4185.03,626,NA,NA,"Wednesday",3,5,2017,2017-05-03,7.88539267,8.977954887,NA,4.174609495,6.685351438,NA,0,1,0,0,1,0,0,0,"precipitazioni",13,0,1,0
4952.22,569,6904.48,716,NA,NA,2744.5,659,4911.19,674,NA,NA,"Thursday",4,5,2017,2017-05-04,8.703374341,9.643128492,NA,4.164643399,7.286632047,NA,0,0,0,0,1,0,0,0,"precipitazioni",13,0,1,0
5927.08,740,9374.54,1015,NA,NA,2649.67,671,6325.8,829,NA,NA,"Friday",5,5,2017,2017-05-05,8.009567568,9.236,NA,3.948837556,7.630639324,NA,0,0,0,0,1,0,0,0,"nebbia ",16,0,0,1
9727,1197,10609.27,1092,NA,NA,3141.09,681,7749.72,990,NA,NA,"Saturday",6,5,2017,2017-05-06,8.126148705,9.715448718,NA,4.61246696,7.828,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
8556.35,969,8892.07,863,NA,NA,2495.57,546,5989.47,773,NA,NA,"Sunday",7,5,2017,2017-05-07,8.830082559,10.30367323,NA,4.570641026,7.748344114,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
3770.04,485,5907.33,636,NA,NA,2194.5,660,4222.67,615,NA,NA,"Monday",8,5,2017,2017-05-08,7.773278351,9.288254717,NA,3.325,6.866130081,NA,0,0,0,0,1,0,0,0,"",18,1,0,0
4091.77,511,6138.22,706,NA,NA,2505.63,665,4247.97,655,NA,NA,"Tuesday",9,5,2017,2017-05-09,8.007377691,8.694362606,NA,3.767864662,6.485450382,NA,0,1,0,0,1,0,0,0,"precipitazioni",18,0,1,0
6040.11,811,7620.95,755,NA,NA,2389,613,4475.11,652,NA,NA,"Wednesday",10,5,2017,2017-05-10,7.447731196,10.09397351,NA,3.897226754,6.863665644,NA,0,0,0,0,1,0,0,0,"",15,1,0,0
5117.32,635,6840.94,749,NA,NA,2826.01,654,5663.3,707,NA,NA,"Thursday",11,5,2017,2017-05-11,8.058771654,9.133431242,NA,4.321116208,8.010325318,NA,0,0,0,0,1,0,0,0,"precipitazioni",16,0,1,0
6468.1,798,9159.59,1025,NA,NA,2995.47,719,7559.27,964,NA,NA,"Friday",12,5,2017,2017-05-12,8.105388471,8.936185366,NA,4.166161335,7.84156639,NA,0,0,0,0,1,0,0,0,"precipitazioni",18,0,1,0
8846.7,1104,12518.33,1209,NA,NA,3645.61,832,7629.49,986,NA,NA,"Saturday",13,5,2017,2017-05-13,8.013315217,10.35428453,NA,4.381742788,7.737819473,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
6776.48,771,8862.56,806,NA,NA,2265.88,508,6276.69,772,NA,NA,"Sunday",14,5,2017,2017-05-14,8.78920882,10.99573201,NA,4.460393701,8.130427461,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
4471.53,558,6153.43,686,NA,NA,2993.44,717,4476.15,642,NA,NA,"Monday",15,5,2017,2017-05-15,8.013494624,8.970014577,NA,4.174951185,6.972196262,NA,0,0,0,0,1,0,0,0,"",22,1,0,0
3658.06,503,5771.11,664,NA,NA,2637.71,656,4709.5,667,NA,NA,"Tuesday",16,5,2017,2017-05-16,7.272485089,8.691430723,NA,4.02089939,7.06071964,NA,0,0,0,0,1,0,0,0,"",23,1,0,0
3550.96,466,6175.03,677,NA,NA,2273.99,600,4520.48,608,NA,NA,"Wednesday",17,5,2017,2017-05-17,7.620085837,9.121166913,NA,3.789983333,7.435,NA,0,0,0,0,1,0,0,0,"",24,1,0,0
4144,544,6794.09,741,NA,NA,2472.34,661,5335.38,700,NA,NA,"Thursday",18,5,2017,2017-05-18,7.617647059,9.168812416,NA,3.740302572,7.621971429,NA,0,0,0,0,1,0,0,0,"",23,1,0,0
5458.68,663,8387.18,944,NA,NA,3107.52,663,6108,845,NA,NA,"Friday",19,5,2017,2017-05-19,8.233303167,8.884724576,NA,4.687058824,7.228402367,NA,0,0,0,0,1,0,0,0,"precipitazioni",20,0,1,0
8838.36,1137,11702.88,1229,NA,NA,3535.41,791,7831.69,957,NA,NA,"Saturday",20,5,2017,2017-05-20,7.773403694,9.522278275,NA,4.46954488,8.183584117,NA,1,1,1,0,1,0,0,0,"",NA,1,0,0
